vector_count,dimensions,m,ef_construction,ef_search,k,recall_at_k,avg_returned,query_p50_ms,query_p95_ms,query_p99_ms,query_mean_ms,num_queries,build_time_ms,insert_throughput_per_sec,memory_delta_bytes,memory_delta_mb,max_graph_level,num_levels
100000,64,8,200,128,200,0.313700,200.000,0.219666,0.252023,0.262577,0.219502,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,128,500,0.478000,500.000,0.527166,0.557759,0.573481,0.523257,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,256,10,0.528000,10.000,0.301083,0.363779,0.388289,0.302008,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,256,50,0.447800,50.000,0.281334,0.323029,0.356636,0.282827,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,256,200,0.368300,200.000,0.286833,0.319258,0.333954,0.288155,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,8,200,256,500,0.478000,500.000,0.543500,0.598792,0.642823,0.544260,200,14427.043,6931.43,56999936,54.359,5,6
100000,64,16,200,16,10,0.175500,10.000,0.042021,0.061481,0.066730,0.042341,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,16,50,0.322800,50.000,0.100125,0.122521,0.137049,0.100086,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,16,200,0.583975,200.000,0.325646,0.355181,0.370292,0.324285,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,16,500,0.766880,500.000,0.760354,0.899645,0.975750,0.770437,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,32,10,0.306500,10.000,0.073375,0.099600,0.116178,0.074692,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,32,50,0.322800,50.000,0.106980,0.133404,0.140935,0.107007,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,32,200,0.583975,200.000,0.339604,0.388929,0.421096,0.342774,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,32,500,0.766880,500.000,0.772979,0.956707,1.008605,0.790141,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,64,10,0.455500,10.000,0.123041,0.152116,0.163563,0.123275,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,64,50,0.377500,50.000,0.128042,0.160081,0.176049,0.128639,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,64,200,0.583975,200.000,0.324958,0.362127,0.373464,0.327531,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,64,500,0.766880,500.000,0.777188,0.882832,0.976303,0.787066,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,128,10,0.647500,10.000,0.221334,0.276179,0.308317,0.227221,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,128,50,0.558900,50.000,0.223395,0.265723,0.280712,0.224293,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,128,200,0.583975,200.000,0.328833,0.398547,0.410848,0.334284,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,128,500,0.766880,500.000,0.757854,0.806807,0.846799,0.761424,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,256,10,0.837000,10.000,0.405396,0.449361,0.471268,0.404074,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,256,50,0.752500,50.000,0.443688,0.532156,0.565731,0.451240,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,256,200,0.653425,200.000,0.438375,0.532690,0.571686,0.447906,200,22493.619,4445.71,32161792,30.672,4,5
100000,64,16,200,256,500,0.766880,500.000,0.765333,0.850829,0.938892,0.775863,200,22493.619,4445.71,32161792,30.672,4,5
